category	cAMP_size	otherPathway_size	shared	unique_to_cAMP	unique_to_otherPathway	jaccard	cAMP_items	otherPathway_items	shared_items	unique_to_cAMP_items	unique_to_otherPathway_items
domain_types	157	58	45	112	13	0.2647	interpro:ipr000008; interpro:ipr000014; interpro:ipr000095; interpro:ipr000159; interpro:ipr000187; interpro:ipr000197; interpro:ipr000198; interpro:ipr000219; interpro:ipr000341; interpro:ipr000403; interpro:ipr000433; interpro:ipr000532; interpro:ipr000591; interpro:ipr000595; interpro:ipr000651; interpro:ipr000699; interpro:ipr000719; interpro:ipr000909; interpro:ipr000961; interpro:ipr000980; interpro:ipr001054; interpro:ipr001245; interpro:ipr001263; interpro:ipr001452; interpro:ipr001487; interpro:ipr001683; interpro:ipr001711; interpro:ipr001715; interpro:ipr001736; interpro:ipr001828; interpro:ipr001849; interpro:ipr001870; interpro:ipr001879; interpro:ipr001895; interpro:ipr001928; interpro:ipr002048; interpro:ipr002072; interpro:ipr002073; interpro:ipr002219; interpro:ipr002420; interpro:ipr003018; interpro:ipr003032; interpro:ipr003101; interpro:ipr003102; interpro:ipr003113; interpro:ipr003116; interpro:ipr003439; interpro:ipr003593; interpro:ipr003607; interpro:ipr003877; interpro:ipr004014; interpro:ipr004827; interpro:ipr004843; interpro:ipr005225; interpro:ipr005821; interpro:ipr006020; interpro:ipr006068; interpro:ipr006186; interpro:ipr006925; interpro:ipr009398; interpro:ipr009460; interpro:ipr010011; interpro:ipr010303; interpro:ipr010630; interpro:ipr011072; interpro:ipr011527; interpro:ipr011598; interpro:ipr012943; interpro:ipr013087; interpro:ipr013621; interpro:ipr013662; interpro:ipr013767; interpro:ipr014744; interpro:ipr014821; interpro:ipr014873; interpro:ipr014920; interpro:ipr014935; interpro:ipr015008; interpro:ipr015359; interpro:ipr016093; interpro:ipr016137; interpro:ipr017452; interpro:ipr017892; interpro:ipr017978; interpro:ipr017981; interpro:ipr020454; interpro:ipr022141; interpro:ipr022613; interpro:ipr025202; interpro:ipr025837; interpro:ipr028398; interpro:ipr029878; interpro:ipr030240; interpro:ipr031162; interpro:ipr031649; interpro:ipr031675; interpro:ipr031688; interpro:ipr032406; interpro:ipr032486; interpro:ipr032498; interpro:ipr032565; interpro:ipr032628; interpro:ipr033923; interpro:ipr034663; interpro:ipr034675; interpro:ipr034743; interpro:ipr034744; interpro:ipr035020; interpro:ipr035022; interpro:ipr035586; interpro:ipr035591; interpro:ipr035637; interpro:ipr035638; interpro:ipr035729; interpro:ipr035730; interpro:ipr035732; interpro:ipr035733; interpro:ipr035734; interpro:ipr035761; interpro:ipr035762; interpro:ipr035764; interpro:ipr035879; interpro:ipr035880; interpro:ipr035881; interpro:ipr037310; interpro:ipr037311; interpro:ipr037313; interpro:ipr037317; interpro:ipr037702; interpro:ipr037703; interpro:ipr037704; interpro:ipr037784; interpro:ipr037832; interpro:ipr039026; interpro:ipr040557; interpro:ipr040844; interpro:ipr041689; interpro:ipr044124; interpro:ipr044492; interpro:ipr046973; interpro:ipr046974; interpro:ipr047015; interpro:ipr047035; interpro:ipr047082; interpro:ipr047083; interpro:ipr048581; interpro:ipr055251; interpro:ipr055272; interpro:ipr056177; interpro:ipr056178; interpro:ipr056193; interpro:ipr056194; interpro:ipr056273; interpro:ipr056484; interpro:ipr057529; interpro:ipr059000; interpro:ipr060527	interpro:ipr000008; interpro:ipr000159; interpro:ipr000197; interpro:ipr000433; interpro:ipr000626; interpro:ipr000699; interpro:ipr000719; interpro:ipr000909; interpro:ipr001487; interpro:ipr001711; interpro:ipr001870; interpro:ipr001895; interpro:ipr002048; interpro:ipr002909; interpro:ipr003032; interpro:ipr003101; interpro:ipr003102; interpro:ipr003877; interpro:ipr004014; interpro:ipr004827; interpro:ipr004843; interpro:ipr005821; interpro:ipr006068; interpro:ipr006186; interpro:ipr009460; interpro:ipr010303; interpro:ipr011539; interpro:ipr013543; interpro:ipr013662; interpro:ipr014744; interpro:ipr014815; interpro:ipr014821; interpro:ipr014873; interpro:ipr015359; interpro:ipr016093; interpro:ipr017452; interpro:ipr022141; interpro:ipr022617; interpro:ipr028398; interpro:ipr028400; interpro:ipr028403; interpro:ipr031162; interpro:ipr031649; interpro:ipr031688; interpro:ipr032397; interpro:ipr035761; interpro:ipr035762; interpro:ipr035764; interpro:ipr037862; interpro:ipr041751; interpro:ipr044492; interpro:ipr046969; interpro:ipr046973; interpro:ipr046974; interpro:ipr048581; interpro:ipr053945; interpro:ipr056484; interpro:ipr059000	interpro:ipr000008; interpro:ipr000159; interpro:ipr000197; interpro:ipr000433; interpro:ipr000699; interpro:ipr000719; interpro:ipr000909; interpro:ipr001487; interpro:ipr001711; interpro:ipr001870; interpro:ipr001895; interpro:ipr002048; interpro:ipr003032; interpro:ipr003101; interpro:ipr003102; interpro:ipr003877; interpro:ipr004014; interpro:ipr004827; interpro:ipr004843; interpro:ipr005821; interpro:ipr006068; interpro:ipr006186; interpro:ipr009460; interpro:ipr010303; interpro:ipr013662; interpro:ipr014744; interpro:ipr014821; interpro:ipr014873; interpro:ipr015359; interpro:ipr016093; interpro:ipr017452; interpro:ipr022141; interpro:ipr028398; interpro:ipr031162; interpro:ipr031649; interpro:ipr031688; interpro:ipr035761; interpro:ipr035762; interpro:ipr035764; interpro:ipr044492; interpro:ipr046973; interpro:ipr046974; interpro:ipr048581; interpro:ipr056484; interpro:ipr059000	interpro:ipr000014; interpro:ipr000095; interpro:ipr000187; interpro:ipr000198; interpro:ipr000219; interpro:ipr000341; interpro:ipr000403; interpro:ipr000532; interpro:ipr000591; interpro:ipr000595; interpro:ipr000651; interpro:ipr000961; interpro:ipr000980; interpro:ipr001054; interpro:ipr001245; interpro:ipr001263; interpro:ipr001452; interpro:ipr001683; interpro:ipr001715; interpro:ipr001736; interpro:ipr001828; interpro:ipr001849; interpro:ipr001879; interpro:ipr001928; interpro:ipr002072; interpro:ipr002073; interpro:ipr002219; interpro:ipr002420; interpro:ipr003018; interpro:ipr003113; interpro:ipr003116; interpro:ipr003439; interpro:ipr003593; interpro:ipr003607; interpro:ipr005225; interpro:ipr006020; interpro:ipr006925; interpro:ipr009398; interpro:ipr010011; interpro:ipr010630; interpro:ipr011072; interpro:ipr011527; interpro:ipr011598; interpro:ipr012943; interpro:ipr013087; interpro:ipr013621; interpro:ipr013767; interpro:ipr014920; interpro:ipr014935; interpro:ipr015008; interpro:ipr016137; interpro:ipr017892; interpro:ipr017978; interpro:ipr017981; interpro:ipr020454; interpro:ipr022613; interpro:ipr025202; interpro:ipr025837; interpro:ipr029878; interpro:ipr030240; interpro:ipr031675; interpro:ipr032406; interpro:ipr032486; interpro:ipr032498; interpro:ipr032565; interpro:ipr032628; interpro:ipr033923; interpro:ipr034663; interpro:ipr034675; interpro:ipr034743; interpro:ipr034744; interpro:ipr035020; interpro:ipr035022; interpro:ipr035586; interpro:ipr035591; interpro:ipr035637; interpro:ipr035638; interpro:ipr035729; interpro:ipr035730; interpro:ipr035732; interpro:ipr035733; interpro:ipr035734; interpro:ipr035879; interpro:ipr035880; interpro:ipr035881; interpro:ipr037310; interpro:ipr037311; interpro:ipr037313; interpro:ipr037317; interpro:ipr037702; interpro:ipr037703; interpro:ipr037704; interpro:ipr037784; interpro:ipr037832; interpro:ipr039026; interpro:ipr040557; interpro:ipr040844; interpro:ipr041689; interpro:ipr044124; interpro:ipr047015; interpro:ipr047035; interpro:ipr047082; interpro:ipr047083; interpro:ipr055251; interpro:ipr055272; interpro:ipr056177; interpro:ipr056178; interpro:ipr056193; interpro:ipr056194; interpro:ipr056273; interpro:ipr057529; interpro:ipr060527	interpro:ipr000626; interpro:ipr002909; interpro:ipr011539; interpro:ipr013543; interpro:ipr014815; interpro:ipr022617; interpro:ipr028400; interpro:ipr028403; interpro:ipr032397; interpro:ipr037862; interpro:ipr041751; interpro:ipr046969; interpro:ipr053945
proteins	142	60	34	108	26	0.2024	o00329; o00459; o14939; o15264; o15439; o15552; o43306; o43314; o43889; o60266; o60271; o60503; o60840; o75116; o75899; o95398; o95622; p01282; p04049; p05305; p06850; p07550; p08172; p08588; p08908; p0dp23; p0dp24; p0dp25; p11229; p13569; p14138; p14416; p15153; p15498; p16220; p17252; p17612; p18509; p20020; p20800; p21728; p21918; p22612; p22694; p23560; p23634; p24387; p24844; p25101; p25929; p27361; p27815; p27986; p28482; p29274; p29973; p30542; p30559; p30872; p30874; p32241; p34998; p35346; p35408; p36507; p36873; p40145; p41586; p41587; p42336; p42338; p43115; p43116; p45983; p45984; p48546; p49019; p49795; p51828; p52735; p53778; p53779; p60763; p61224; p62136; p62140; p62834; p63000; q01668; q01814; q02750; q02930; q07343; q08462; q08493; q08499; q08828; q09472; q13153; q13324; q13370; q13387; q13393; q13464; q13698; q13936; q14028; q14432; q15759; q16280; q16281; q16512; q16539; q16566; q16720; q5vu43; q6pfw1; q8iv77; q8ne79; q8nfm4; q8td08; q8tdv5; q8wza2; q92736; q92793; q93084; q96pn6; q9bxa5; q9bxc0; q9h9c1; q9hbu9; q9hbv1; q9nqw8; q9p212; q9ukw4; q9ul51; q9upt6; q9uqf2; q9y233; q9y243; q9y3q4; q9y6q9	o14983; o15264; o60840; o95644; p07550; p08172; p08588; p08908; p0dp23; p0dp24; p0dp25; p11229; p16220; p16298; p16615; p20020; p20309; p21817; p23634; p25101; p27361; p28482; p30559; p43115; p48454; p53778; p53779; q00722; q01668; q01814; q01970; q08209; q09472; q12968; q13469; q13554; q13557; q13698; q13936; q14012; q14571; q14573; q14643; q14934; q15147; q15413; q15759; q16539; q16566; q16720; q8iu85; q8ncf5; q8td08; q92736; q92793; q93084; q96nx5; q9nq66; q9p212; q9uqm7	o15264; o60840; p07550; p08172; p08588; p08908; p0dp23; p0dp24; p0dp25; p11229; p16220; p20020; p23634; p25101; p27361; p28482; p30559; p43115; p53778; p53779; q01668; q01814; q09472; q13698; q13936; q15759; q16539; q16566; q16720; q8td08; q92736; q92793; q93084; q9p212	o00329; o00459; o14939; o15439; o15552; o43306; o43314; o43889; o60266; o60271; o60503; o75116; o75899; o95398; o95622; p01282; p04049; p05305; p06850; p13569; p14138; p14416; p15153; p15498; p17252; p17612; p18509; p20800; p21728; p21918; p22612; p22694; p23560; p24387; p24844; p25929; p27815; p27986; p29274; p29973; p30542; p30872; p30874; p32241; p34998; p35346; p35408; p36507; p36873; p40145; p41586; p41587; p42336; p42338; p43116; p45983; p45984; p48546; p49019; p49795; p51828; p52735; p60763; p61224; p62136; p62140; p62834; p63000; q02750; q02930; q07343; q08462; q08493; q08499; q08828; q13153; q13324; q13370; q13387; q13393; q13464; q14028; q14432; q16280; q16281; q16512; q5vu43; q6pfw1; q8iv77; q8ne79; q8nfm4; q8tdv5; q8wza2; q96pn6; q9bxa5; q9bxc0; q9h9c1; q9hbu9; q9hbv1; q9nqw8; q9ukw4; q9ul51; q9upt6; q9uqf2; q9y233; q9y243; q9y3q4; q9y6q9	o14983; o95644; p16298; p16615; p20309; p21817; p48454; q00722; q01970; q08209; q12968; q13469; q13554; q13557; q14012; q14571; q14573; q14643; q14934; q15147; q15413; q8iu85; q8ncf5; q96nx5; q9nq66; q9uqm7
function_tags	32	25	22	10	3	0.6286	adaptor; atpase; binding; catalytic; catalytic-support; channel; chromatin-binding; coactivator; cyclic-nucleotide-sensor; dimerization; dna-binding; gap; gef; ligand; ligand-binding; membrane-anchor; membrane-targeting; metal-binding; molecular-switch; oligomerization; ppi; reader; receptor; receptor-binding; regulator; scaffold; sensor; signal-transducer; structural; trafficking; transcription-regulator; transporter	atpase; binding; calcium-sensor; calmodulin-binding; catalytic; channel; chromatin-binding; coactivator; dimerization; dna-binding; gef; membrane-anchor; membrane-targeting; metal-binding; oligomerization; phosphatase; ppi; reader; receptor; regulator; scaffold; signal-transducer; structural; transcription-regulator; transporter	atpase; binding; catalytic; channel; chromatin-binding; coactivator; dimerization; dna-binding; gef; membrane-anchor; membrane-targeting; metal-binding; oligomerization; ppi; reader; receptor; regulator; scaffold; signal-transducer; structural; transcription-regulator; transporter	adaptor; catalytic-support; cyclic-nucleotide-sensor; gap; ligand; ligand-binding; molecular-switch; receptor-binding; sensor; trafficking	calcium-sensor; calmodulin-binding; phosphatase
binding_targets	99	48	18	81	30	0.1395	acetyl-coa; acetylated histone tails; actin; akap15; app; atp; ca2+; calmodulin; camp; cav-beta subunit; cbp/p300 kix domain; cdc42; cgmp; channel regulatory partners; channel regulatory proteins; cl?/hco??; coactivator core proteins; cognate trk receptor (trkb/ntrk2); crh/crf peptide; crhr1; crhr2; dbl homology domain (intramolecular); diacylglycerol; dna response element (cre/e-box); ednra; ednrb; effector proteins; endothelin (et-1/et-2/et-3); extracellular ligand; g alpha subunit; gab1/gab2 adaptors; gap; gdp; gef; gipr; gtp; g¦â¦ã subunits; h3k4me3; heterotrimeric g protein; histone/non-histone lysine substrate; homodimer/heterodimer partner; hops/corvet complex partner proteins; insulin receptor -beta-chain; intramolecular pde regulatory contacts; irs-1/irs-2 ptyr motifs; k+; membrane bilayer; membrane environment; membrane phospholipid; metal ions; methylated histone h3 tail; mg2+; mn2+; mtor complex; myosin iq motif / mlck substrate; na+; ncoa3 lxxll motif; npxy/nxxy peptide motifs; nuclear receptor lbd af-2 helix; p85-alpha/p85-beta regulatory subunit; pa; pac1r/adcyap1r1 (lower affinity); partner receptor subunit; pas-domain ligands; peptide hormone ligand; phorbol ester; phosphatidylcholine; phosphatidylserine; phosphoinositides; phosphoprotein substrate; phosphorylated creb pkid; phosphotyrosine-containing proteins; pi(3,4,5)p3; pi(4,5)p2; pi3k p110 catalytic subunit; pip2; plasma membrane; protein kinase a; protein partner; protein partners (generic); protein regulators of ryr/ip3r; protein substrate; rac1; rac1-gtp; ras-related small gtpase; receptor cytoplasmic tail; regulatory subunits; rho-related small gtpase; rhoa (gtp-bound); rhoa/rhob/rhoc (gtp-bound); rtk tails (egfr/pdgfr/ir); sh3-binding pxxp proteins; shc adaptors; small-molecule or amino-acid ligand; transcription factor complex partners; vpac1/vipr1; vpac2/vipr2; water; zn2+	acetyl-lysine histone tail; acetylcoa; arrestin; atp; bzip partner proteins; ca2+; calmodulin; camkii subunits; cbp/p300 kix domain; channel modulators; channel regulatory proteins; cre dna element; dna; extracellular ligand; galphaq/11; gbeta-gamma subunits; heterotrimeric g protein; histone/non-histone lysine substrate; inositol 1,4,5-trisphosphate; intramolecular actuator contacts; intramolecular receptor contacts; intramolecular regulatory contacts; membrane bilayer; metal ions; mg2+; modified histone tails; nfat; nfat family proteins; nfat-response dna elements; partner transcription factors; phosphatidic acid; phosphoenzyme intermediate; phosphoinositides; phospholipid; phosphoprotein substrate; phosphorylated creb pkid; plasma membrane phospholipids; protein partners; protein substrate; ras-related small gtpase; regulatory proteins; rho-related small gtpase; ryanodine; sumo-like fold interaction partners; transcription factor activation domains; transcriptional partner proteins; ubiquitin-like fold interaction partners; zn2+	atp; ca2+; calmodulin; cbp/p300 kix domain; channel regulatory proteins; extracellular ligand; heterotrimeric g protein; histone/non-histone lysine substrate; membrane bilayer; metal ions; mg2+; phosphoinositides; phosphoprotein substrate; phosphorylated creb pkid; protein substrate; ras-related small gtpase; rho-related small gtpase; zn2+	acetyl-coa; acetylated histone tails; actin; akap15; app; camp; cav-beta subunit; cdc42; cgmp; channel regulatory partners; cl?/hco??; coactivator core proteins; cognate trk receptor (trkb/ntrk2); crh/crf peptide; crhr1; crhr2; dbl homology domain (intramolecular); diacylglycerol; dna response element (cre/e-box); ednra; ednrb; effector proteins; endothelin (et-1/et-2/et-3); g alpha subunit; gab1/gab2 adaptors; gap; gdp; gef; gipr; gtp; g¦â¦ã subunits; h3k4me3; homodimer/heterodimer partner; hops/corvet complex partner proteins; insulin receptor -beta-chain; intramolecular pde regulatory contacts; irs-1/irs-2 ptyr motifs; k+; membrane environment; membrane phospholipid; methylated histone h3 tail; mn2+; mtor complex; myosin iq motif / mlck substrate; na+; ncoa3 lxxll motif; npxy/nxxy peptide motifs; nuclear receptor lbd af-2 helix; p85-alpha/p85-beta regulatory subunit; pa; pac1r/adcyap1r1 (lower affinity); partner receptor subunit; pas-domain ligands; peptide hormone ligand; phorbol ester; phosphatidylcholine; phosphatidylserine; phosphotyrosine-containing proteins; pi(3,4,5)p3; pi(4,5)p2; pi3k p110 catalytic subunit; pip2; plasma membrane; protein kinase a; protein partner; protein partners (generic); protein regulators of ryr/ip3r; rac1; rac1-gtp; receptor cytoplasmic tail; regulatory subunits; rhoa (gtp-bound); rhoa/rhob/rhoc (gtp-bound); rtk tails (egfr/pdgfr/ir); sh3-binding pxxp proteins; shc adaptors; small-molecule or amino-acid ligand; transcription factor complex partners; vpac1/vipr1; vpac2/vipr2; water	acetyl-lysine histone tail; acetylcoa; arrestin; bzip partner proteins; camkii subunits; channel modulators; cre dna element; dna; galphaq/11; gbeta-gamma subunits; inositol 1,4,5-trisphosphate; intramolecular actuator contacts; intramolecular receptor contacts; intramolecular regulatory contacts; modified histone tails; nfat; nfat family proteins; nfat-response dna elements; partner transcription factors; phosphatidic acid; phosphoenzyme intermediate; phospholipid; plasma membrane phospholipids; protein partners; regulatory proteins; ryanodine; sumo-like fold interaction partners; transcription factor activation domains; transcriptional partner proteins; ubiquitin-like fold interaction partners
topology_context	5	5	5	0	0	1.0	cytoplasmic; extracellular; luminal; transmembrane; unknown	cytoplasmic; extracellular; luminal; transmembrane; unknown	cytoplasmic; extracellular; luminal; transmembrane; unknown		
positional_category	3	3	3	0	0	1.0	cterminal; internal; nterminal	cterminal; internal; nterminal	cterminal; internal; nterminal		
proximity_categories	3	2	2	1	0	0.6667	nearactivesiteregion; nearsignalpeptidecleavage; neartransmembranehelix	nearactivesiteregion; neartransmembranehelix	nearactivesiteregion; neartransmembranehelix	nearsignalpeptidecleavage	
copy_number_property	0	0	0	0	0	0.0					
go_terms_mf	34	20	16	18	4	0.4211	go:0003700; go:0003712; go:0003713; go:0003824; go:0004016; go:0004114; go:0004402; go:0004435; go:0004672; go:0004674; go:0004697; go:0004888; go:0004930; go:0005085; go:0005102; go:0005179; go:0005216; go:0005219; go:0005262; go:0005388; go:0005509; go:0005515; go:0005524; go:0005525; go:0008270; go:0016303; go:0016787; go:0016887; go:0016922; go:0031267; go:0035091; go:0042626; go:0046983; go:0140359	go:0003677; go:0003700; go:0003712; go:0003713; go:0004402; go:0004435; go:0004629; go:0004672; go:0004683; go:0005085; go:0005216; go:0005219; go:0005262; go:0005388; go:0005509; go:0005515; go:0005516; go:0005524; go:0008270; go:0016787	go:0003700; go:0003712; go:0003713; go:0004402; go:0004435; go:0004672; go:0005085; go:0005216; go:0005219; go:0005262; go:0005388; go:0005509; go:0005515; go:0005524; go:0008270; go:0016787	go:0003824; go:0004016; go:0004114; go:0004674; go:0004697; go:0004888; go:0004930; go:0005102; go:0005179; go:0005525; go:0016303; go:0016887; go:0016922; go:0031267; go:0035091; go:0042626; go:0046983; go:0140359	go:0003677; go:0004629; go:0004683; go:0005516
go_terms_bp	21	11	10	11	1	0.4545	go:0006171; go:0006355; go:0006468; go:0006629; go:0006811; go:0006874; go:0006886; go:0006939; go:0007165; go:0007166; go:0007186; go:0007264; go:0007266; go:0009190; go:0010825; go:0019229; go:0032956; go:0035556; go:0043491; go:0055085; go:0070588	go:0006355; go:0006468; go:0006629; go:0006811; go:0006874; go:0007165; go:0007264; go:0016042; go:0035556; go:0055085; go:0070588	go:0006355; go:0006468; go:0006629; go:0006811; go:0006874; go:0007165; go:0007264; go:0035556; go:0055085; go:0070588	go:0006171; go:0006886; go:0006939; go:0007166; go:0007186; go:0007266; go:0009190; go:0010825; go:0019229; go:0032956; go:0043491	go:0016042
